ID,Nome_Produto,Categoria,Especificacoes_Tecnicas,Quantidade_Estoque,Nivel_Critico,Fornecedor,Localizacao_Corredor,Preco_Unitario_BRL
COMP-007,Gabinete Corsair 4000D Airflow,Componentes,"Mid-Tower, Lateral em Vidro Temperado, Painel Frontal Otimizado, Preto",11,3,Eletronicos Nordeste Ltda,B-03,549.9
COMP-008,Water Cooler DeepCool LE500,Componentes,"Radiador de 240mm, Ventoinhas de 120mm LED Estático, Compatível com AM4/LGA1700",6,2,Eletronicos Nordeste Ltda,B-04,329.0
PERI-004,Headset HyperX Cloud Stinger 2,Periféricos,"Drivers de 50mm, Conexão P3/P2, Microfone com Função Mute por Giro",19,5,Logi distribuidora SP,C-03,249.9
PERI-005,Webcam Logitech C920s Pro HD,Periféricos,"Resolução Full HD 1080p a 30fps, Foco Automático, Tampa de Privacidade",14,4,Logi distribuidora SP,C-04,399.0
NET-004,Roteador Mikrotik hEX lite RB750r2,Conectividade,"5 Portas Fast Ethernet, CPU 850MHz, 64MB RAM, Sistema RouterOS L4",8,3,Cisco & TP Conexões,E-04,319.0
NET-005,Placa de Rede PCI Express TP-Link Archer,Conectividade,"Wireless Wi-Fi 6 AX3000, Bluetooth 5.2, Duas Antenas Multidirecionais",16,4,Cisco & TP Conexões,E-01,219.9
IOT-005,Módulo Relé 5V de 2 Canais,Microcontroladores e IoT,"Controle de Cargas AC 110V/220V, Corrente Máxima 10A, Optoacoplado",85,15,Maker Brasil Componentes,F-04,12.5
IOT-006,Display Oled 0.96 Polegadas I2C,Microcontroladores e IoT,"Resolução 128x64 Pixels, Monocromático Azul/Amarelo, Comunicação I2C",42,10,Maker Brasil Componentes,F-04,18.9
IOT-007,Kit Jumpers Macho-Fêmea 40 Peças,Microcontroladores e IoT,"Comprimento de 20cm, Fios Destacáveis, Ideal para Protoboard",150,30,Maker Brasil Componentes,F-03,7.5
IOT-008,Protoboard 830 Pontos com Barramento,Microcontroladores e IoT,"Placa de Ensaio Transparente, Fita Adesiva Traseira, Encaixável",55,12,Global Components Import,F-02,19.9
FERR-003,Estação de Solda e Retrabalho Yaxun 881D,Ferramentas,"Soprador de Ar Quente e Ferro de Solda, Analógica, Display Digital de Temp.",5,2,Ferramentas & Cia Regional,G-03,459.0
FERR-004,Tubo de Estanho para Solda Best 100g,Ferramentas,"Diâmetro 1.0mm, Liga 60/40 com Fluxo interno RA, Peso Líquido 100g",40,10,Ferramentas & Cia Regional,G-01,34.9
COMP-009,Processador Intel Core i5-12400F,Componentes,"6 Cores, 12 Threads, 2.5GHz (4.4GHz Turbo), LGA1700, TDP 65W",11,4,TechDistri Brasil S.A.,A-01,769.0
COMP-010,Placa-Mãe MSI MAG B660M Mortar,Componentes,"Chipset B660, Intel LGA1700, Micro-ATX, DDR4, Dual M.2 PCIe 4.0",7,3,TechDistri Brasil S.A.,A-02,949.0
